set,id,before,after,word,translation,level
1,1,Ninguno de mis alumnos,con el tutor antes del examen. ,hablará,to speak,B1
1,2,El año que viene toda la familia,en las afueras. ,vivirá,to live,B1
1,3,Hace atletismo y probablemente,la maratón el año que viene. ,correrá,to run,B1
1,4,Por trabajo él ,a París el próximo lunes. ,viajará,to travel,B1
1,5,"Si se cansa en la maratón, ",durante algún tramo. ,caminará,to walk,B1
2,1,"Necesito el dinero, por lo que la semana que viene",todos los días. ,trabajaré,to work,B1
2,2,"Ya lo he decidido, ",el apartamento que vimos ayer. ,compraré,to buy,B1
2,3,"En resumen, en cuanto tenga un día libre te",.,visitaré,to visit,B1
2,4,"Es importante que los sepas, te",por teléfono en cuando lo sepa. ,llamaré,to call,B1
2,5,"No quiero hacerlo y mi voz es terrible, pero por ti",en tu fiesta. ,cantaré,to sing,B1
3,1,"Cuando estéis todos acostados, Mónica y yo",todas las luces. ,apagaremos,to turn off,B1
3,2,Este curso escolar,en la cantina del colegio. ,comeremos,to eat,B1
3,3,Para preparar el ramo,las flores del rosal en el jardín. ,cortaremos,to cut,B1
3,4,"En cuanto acabe el telediario, ","de canal, no te preocupes. ",cambiaremos,to change,B1
3,5,Al final del viaje,todos los gastos y calculamos el total. ,sumaremos,to add up,B1
4,1,Los trabajadores ,todas las toallas a primera hora. ,lavarán,to wash,B1
4,2,En el otoño los jardineros ,las ramas más bajas. ,podarán,to prune,B1
4,3,Debemos aumentar el riego porque en verano las plantas,más agua. ,necesitarán,to need,B1
4,4,Varios de mis grupos favoritos,esta noche en el concierto. ,tocarán,to play,B1
4,5,Durante el campamento los niños,cada tarde por el bosque. ,pasearán,to walk,B1
5,1,"Sois los monitores, por lo que",la cena cada noche. ,prepararéis,to prepare,B1
5,2,En la excursión nocturan ,las estrellas con un telescopio. ,miraréis,to look at,B1
5,3,Para entender la película en versión original,primero el guión. ,leeréis,to read,B1
5,4,"En las elecciones, vosotros",en la casa de la cultura. ,votaréis,to vote,B1
5,5,Tú y tu hermana,por teléfono con vuestros padres todos los diás. ,hablaréis,to speak,B1
6,1,"No te muevas nada, y ",en el agua salada. ,flotarás,to float,B1
6,2,"Eres un gran deportista, estoy segura de que ",montañas muy altas. ,escalarás,to climb,B1
6,3,El domador,al león en pocos meses. ,domará,to tame,B1
6,4,"Para esta noche, la cocinera",{manzanas|apples} para el postre. ,asará,to bake,B1
6,5,"Si es necesario, Luis",las {escaleras|stairs} de dos en dos. ,bajará,to go down,B1
7,1,Estoy segura de que pronto,todos los precios de la tienda.,subirás,to go up,B1
7,2,"Si te esfuerzas, ",el trabajo antes de lo que esperas. ,terminarás,to finish,B1
7,3,"En el examen, ",los dos textos y analizarás las diferencias. ,comparás,to compare,B1
7,4,Con esa maestra en la clase de arte,mucho la tinta china. ,utilizarás,to use,B1
7,5,"No te preocupes, yo compraré la comida, y tú",las bebidas. ,pagarás,to pay,B1
8,1,"Mientras estés en el colegio, ",a tu abuela por las tardes. ,visitarás,to visit,B1
8,2,Estoy completamente seguro de que pronto,el estrés del examen. ,olvidarás,to forget,B1
8,3,Seguro que para el partido,unas zapatillas nuevas. ,necesitarás,to need,B1
8,4,"Te conozco bien, probablemente",tu bocadillo con tus amigos. ,compartirás,to share,B1
8,5,"Aunque te lo repitan, no ",nunca la batidora. ,apagarás,to turn off,B1
9,1,Para el trabajo final de mi clase de arte,un paisaje. ,dibujaré,to draw,B1
9,2,"No vuelvas tarde, te",aquí a las cinco en punto. ,esperaré,to wait,B1
9,3,Esta semana ,a trabajar un poco más tarde. ,entraré,to come in,B1
9,4,"No, gracias, ",yo todos los exámenes. ,evaluaré,to assess,B1
9,5,"No te enfades, ",el premio con todos vosotros. ,compartiré,to share,B1
